CODE	INDUSTRY	PRICE	AVG_PRICE
603757	专用机械	17.294941580200195	58.49498856265324
600230	农药化肥	31.261200000000002	93.82365196687763
603856	塑料	19.6092	35.68001257581615
603129	摩托车	44.888799999999996	598.5204625000001
002440	染料涂料	7.376003517150879	17.7663763088313
000550	汽车整车	15.264	184.91680412623177
603319	汽车配件	28.9755	45.46922413141583
002536	汽车配件	10.368	45.46922413141583
600097	渔业	0	9.920085217084202
000600	火力发电	1.2852	5.472159523173302
600508	煤炭开采	4.3632	10.7146550104409
000596	白酒	37.8936	60.62160824340016
600516	矿物制品	14.938799999999999	37.26179524782979
002293	纺织	10.876299999999999	23.619736608432103
300451	软件服务	32.010999999999996	68.88664535342858
